week_48,label,sci,ebird_score,in_ebird
1,Saxicola stejnegeri_Amur Stonechat,Saxicola stejnegeri,0.1104,True
1,Muscicapa dauurica_Asian Brown Flycatcher,Muscicapa dauurica,0.0425,True
1,Delichon dasypus_Asian House Martin,Delichon dasypus,0.2503,True
1,Parus cinereus_Asian Tit,Parus cinereus,0.0,True
1,Cyanopica cyanus_Azure-winged Magpie,Cyanopica cyanus,0.3793,True
1,Sibirionetta formosa_Baikal Teal,Sibirionetta formosa,0.0,False
1,Limosa lapponica_Bar-tailed Godwit,Limosa lapponica,0.3345,True
1,Hirundo rustica_Barn Swallow,Hirundo rustica,0.1312,True
1,Nycticorax nycticorax_Black-crowned Night Heron,Nycticorax nycticorax,0.2835,True
1,Chroicocephalus ridibundus_Black-headed Gull,Chroicocephalus ridibundus,0.466,True
1,Rissa tridactyla_Black-legged Kittiwake,Rissa tridactyla,0.3986,True
1,Podiceps nigricollis_Black-necked Grebe,Podiceps nigricollis,0.4486,True
1,Limosa limosa_Black-tailed Godwit,Limosa limosa,0.2719,True
1,Larus crassirostris_Black-tailed Gull,Larus crassirostris,0.4698,True
1,Himantopus himantopus_Black-winged Stilt,Himantopus himantopus,0.2655,True
1,Milvus migrans_Black Kite,Milvus migrans,0.7341,True
1,Cyanoptila cyanomelana_Blue-and-white Flycatcher,Cyanoptila cyanomelana,0.0396,True
1,Monticola solitarius_Blue Rock Thrush,Monticola solitarius,0.517,True
1,Fringilla montifringilla_Brambling,Fringilla montifringilla,0.4692,True
1,Calidris falcinellus_Broad-billed Sandpiper,Calidris falcinellus,0.0552,True
1,Hypsipetes amaurotis_Brown-eared Bulbul,Hypsipetes amaurotis,0.9997,True
1,Turdus chrysolaus_Brown-headed Thrush,Turdus chrysolaus,0.2753,True
1,Sula leucogaster_Brown Booby,Sula leucogaster,0.3798,True
1,Lanius bucephalus_Bull-headed Shrike,Lanius bucephalus,0.7437,True
1,Corvus corone_Carrion Crow,Corvus corone,0.7698,True
1,Emberiza fucata_Chestnut-eared Bunting,Emberiza fucata,0.4494,True
1,Remiz consobrinus_Chinese Penduline-Tit,Remiz consobrinus,0.4509,True
1,Periparus ater_Coal Tit,Periparus ater,0.408,True
1,Grus grus_Common Crane,Grus grus,0.127,True
1,Bucephala clangula_Common Goldeneye,Bucephala clangula,0.4808,True
1,Tringa nebularia_Common Greenshank,Tringa nebularia,0.3426,True
1,Larus canus_Common Gull,Larus canus,0.4171,True
1,Alcedo atthis_Common Kingfisher,Alcedo atthis,0.5154,True
1,Mergus merganser_Common Merganser,Mergus merganser,0.5199,True
1,Gallinula chloropus_Common Moorhen,Gallinula chloropus,0.416,True
1,Aythya ferina_Common Pochard,Aythya ferina,0.6639,True
1,Tringa totanus_Common Redshank,Tringa totanus,0.2514,True
1,Actitis hypoleucos_Common Sandpiper,Actitis hypoleucos,0.5306,True
1,Tadorna tadorna_Common Shelduck,Tadorna tadorna,0.5516,True
1,Gallinago gallinago_Common Snipe,Gallinago gallinago,0.4603,True
1,Anas crecca_Common Teal,Anas crecca,0.789,True
1,Calidris ferruginea_Curlew Sandpiper,Calidris ferruginea,0.0543,True
1,Coloeus dauuricus_Daurian Jackdaw,Coloeus dauuricus,0.0,False
1,Phoenicurus auroreus_Daurian Redstart,Phoenicurus auroreus,0.8931,True
1,Grus virgo_Demoiselle Crane,Grus virgo,0.0,False
1,Calidris alpina_Dunlin,Calidris alpina,0.4492,True
1,Turdus eunomus_Dusky Thrush,Turdus eunomus,0.7021,True
1,Cecropis daurica_Eastern Red-rumped Swallow,Cecropis daurica,0.0573,True
1,Anas zonorhyncha_Eastern Spot-billed Duck,Anas zonorhyncha,0.7756,True
1,Motacilla tschutschensis_Eastern Yellow Wagtail,Motacilla tschutschensis,0.0647,True
1,Fulica atra_Eurasian Coot,Fulica atra,0.8396,True
1,Numenius arquata_Eurasian Curlew,Numenius arquata,0.4372,True
1,Garrulus glandarius_Eurasian Jay,Garrulus glandarius,0.4737,True
1,Falco tinnunculus_Eurasian Kestrel,Falco tinnunculus,0.5186,True
1,Pica serica_Eurasian Magpie,Pica serica,0.6264,True
1,Haematopus ostralegus_Eurasian Oystercatcher,Haematopus ostralegus,0.3401,True
1,Spinus spinus_Eurasian Siskin,Spinus spinus,0.4834,True
1,Alauda arvensis_Eurasian Skylark,Alauda arvensis,0.4605,True
1,Accipiter nisus_Eurasian Sparrowhawk,Accipiter nisus,0.5017,True
1,Platalea leucorodia_Eurasian Spoonbill,Platalea leucorodia,0.5082,True
1,Passer montanus_Eurasian Tree Sparrow,Passer montanus,0.996,True
1,Numenius phaeopus_Eurasian Whimbrel,Numenius phaeopus,0.2366,True
1,Mareca penelope_Eurasian Wigeon,Mareca penelope,0.7671,True
1,Scolopax rusticola_Eurasian Woodcock,Scolopax rusticola,0.3629,True
1,Troglodytes troglodytes_Eurasian Wren,Troglodytes troglodytes,0.4707,True
1,Sturnus vulgaris_European Starling,Sturnus vulgaris,0.5889,True
1,Turdus obscurus_Eyebrowed Thrush,Turdus obscurus,0.1016,True
1,Mareca falcata_Falcated Duck,Mareca falcata,0.5636,True
1,Numenius madagascariensis_Far Eastern Curlew,Numenius madagascariensis,0.1571,True
1,Mareca strepera_Gadwall,Mareca strepera,0.5607,True
1,Spatula querquedula_Garganey,Spatula querquedula,0.2344,True
1,Larus glaucescens_Glaucous-winged Gull,Larus glaucescens,0.4013,True
1,Larus hyperboreus_Glaucous Gull,Larus hyperboreus,0.3554,True
1,Regulus regulus_Goldcrest,Regulus regulus,0.4129,True
1,Phalacrocorax carbo_Great Cormorant,Phalacrocorax carbo,0.7974,True
1,Podiceps cristatus_Great Crested Grebe,Podiceps cristatus,0.5936,True
1,Ardea alba_Great Egret,Ardea alba,0.6908,True
1,Anser albifrons_Greater White-fronted Goose,Anser albifrons,0.4791,True
1,Tringa ochropus_Green Sandpiper,Tringa ochropus,0.4462,True
1,Vanellus cinereus_Grey-headed Lapwing,Vanellus cinereus,0.3797,True
